stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10359,10359,"38th St & Boulevard Pl",,  39.824721, -86.163733,,,0,
10360,10360,"38th St & Kenwood Ave",,  39.824953, -86.159637,,,0,
10361,10361,"38th St & Boulevard Pl",,  39.824938, -86.163133,,,0,
10362,10362,"38th St & High School Rd",,  39.823651, -86.268519,,,0,
10363,10363,"38th St - 4945 W",,  39.823824, -86.243043,,,0,
10364,10364,"38th St & Capitol Ave",,  39.824754, -86.160622,,,0,
10365,10365,"38th St & Meridian St",,  39.824791, -86.157033,,,0,
10366,10366,"38th St & Cornelius Ave",,  39.824925, -86.165597,,,0,
10367,10367,"38th St & Byram Ave",,  39.824909, -86.169210,,,0,
10400,10400,"Delaware St & Market St",,  39.768777, -86.154341,,,0,
10401,10401,"Delaware St & New York St",,  39.771042, -86.154254,,,0,
10402,10402,"Delaware St & Vermont St",,  39.772382, -86.154192,,,0,
10403,10403,"Delaware St & Michigan St",,  39.773747, -86.154138,,,0,
10405,10405,"Alabama St & North St",,  39.775871, -86.152285,,,0,
10407,10407,"Alabama St & Saint Clair Ct",,  39.777768, -86.152181,,,0,
10408,10408,"Alabama St & 09th St",,  39.778957, -86.152168,,,0,
10410,10410,"Alabama St & Puryear St",,  39.780846, -86.152088,,,0,
10411,10411,"Alabama St & 12th St",,  39.782828, -86.152124,,,0,
10412,10412,"Alabama St & 13th St",,  39.784377, -86.152142,,,0,
10413,10413,"Alabama St & 15th St",,  39.787391, -86.152134,,,0,
10414,10414,"Alabama St & 16th St",,  39.788684, -86.152200,,,0,
10415,10415,"Alabama St & 17th St",,  39.790693, -86.152282,,,0,
10416,10416,"Alabama St & 19th St",,  39.792996, -86.152281,,,0,
10417,10417,"Alabama St & 21st St",,  39.795728, -86.152307,,,0,
10418,10418,"Alabama St & 22nd St",,  39.797257, -86.152325,,,0,
10419,10419,"22nd St & Central Ave",,  39.797407, -86.149717,,,0,
10420,10420,"22nd St & Park Ave",,  39.797567, -86.148195,,,0,
10421,10421,"22nd St & Broadway St",,  39.797627, -86.146516,,,0,
10422,10422,"College Ave & 22nd St",,  39.797991, -86.144689,,,0,
10424,10424,"College Ave & 24th St",,  39.801167, -86.144729,,,0,
10425,10425,"College Ave & 25th St",,  39.802930, -86.144719,,,0,
10428,10428,"College Ave & 28th St",,  39.806787, -86.144735,,,0,
10429,10429,"College Ave & 30th St",,  39.810218, -86.144866,,,0,
10430,10430,"30th St & Fall Creek Pkwy N Dr",,  39.810353, -86.144070,,,0,
10431,10431,"Sutherland Ave & 30th St",,  39.811000, -86.141564,,,0,
10432,10432,"Sutherland Ave & 32nd St",,  39.813099, -86.141134,,,0,
10433,10433,"Sutherland Ave & Private",,  39.814270, -86.140847,,,0,
10434,10434,"Sutherland Ave & Guilford Ave",,  39.815437, -86.139285,,,0,
10435,10435,"Sutherland Ave & Winthrop Ave",,  39.815878, -86.137711,,,0,
10436,10436,"Sutherland Ave & 34th St",,  39.817908, -86.134567,,,0,
10437,10437,"34th St & Hovey St",,  39.818009, -86.132773,,,0,
10438,10438,"34th St & Ralston Ave",,  39.818017, -86.131282,,,0,
10439,10439,"34th St & Schofield Ave",,  39.818048, -86.129804,,,0,
10440,10440,"34th St & Orchard Ave",,  39.818042, -86.127921,,,0,
10441,10441,"34th St & Caroline Ave",,  39.818052, -86.125981,,,0,
10442,10442,"34th St & Baltimore Ave",,  39.818067, -86.124233,,,0,
10444,10444,"34th St & Keystone Ave",,  39.818074, -86.121175,,,0,
10445,10445,"34th St & Tacoma Ave",,  39.818088, -86.120260,,,0,
10446,10446,"34th St & Temple Ave",,  39.818093, -86.118349,,,0,
10447,10447,"34th St & Rural St",,  39.818088, -86.116896,,,0,
10448,10448,"34th St & Oxford St",,  39.818103, -86.115191,,,0,
10450,10450,"34th St & Dearborn St",,  39.818100, -86.112364,,,0,
10451,10451,"34th St & Houston St",,  39.818115, -86.109737,,,0,
10452,10452,"34th St & Adams St",,  39.818128, -86.108552,,,0,
10453,10453,"34th St & Olney St",,  39.818150, -86.107039,,,0,
10455,10455,"34th St & Station St",,  39.818152, -86.104515,,,0,
10456,10456,"34th St & Sherman Dr",,  39.818149, -86.102877,,,0,
